        e0     rho0         k0          q0        j0         l0       ksym0
-16.074873 0.169641 183.753271  436.988533 29.350073  70.528233  -33.084390
-15.540039 0.161319 198.695654  426.854975 31.320938  32.057936  -91.284152
-15.850788 0.166671 213.281863  387.396531 32.721075  35.260657 -103.019417
-16.395101 0.160311 254.518067   49.521224 33.941386  45.772100   17.898117
-15.942280 0.158649 264.630587  414.493330 34.792551  80.379061   72.562476
-16.033856 0.161253 237.042784 -149.854653 31.897096  20.798954 -134.075453
-15.907484 0.156293 191.526087  464.476550 32.773803  43.836677  -83.797757
-16.043524 0.164178 274.091194   86.232693 31.786243  37.186111 -221.562304
-15.658824 0.159654 272.656403  506.424666 30.598259  68.019963   55.473155
-16.037014 0.158722 246.959622   29.583671 33.124738  34.775315 -109.760640
-16.050048 0.161717 248.581234  -83.644013 33.592010  60.895431  -32.623273
-15.970991 0.160562 279.244130  286.642395 31.565193  50.764843    1.179488
-16.339893 0.158079 204.347252  523.089568 31.479070  43.986740  -70.399747
-16.500126 0.160290 166.747229  183.333586 29.520975  53.230677  -89.856431
-16.000869 0.162021 282.888258   18.669872 35.341894  24.625204 -218.471984
-16.141682 0.163615 249.811324  536.842096 32.056597  43.075308 -126.819514
-16.203050 0.161807 231.365131  508.260160 32.645018  47.369022 -113.565773
-16.174518 0.161906 234.430418  666.927615 32.466136  63.229480  -81.272831
-16.193334 0.157241 210.457988  367.320127 33.456989  95.928878  194.843174
-16.320563 0.164717 248.243524  182.089882 33.381782  84.000000   87.482842
-15.655374 0.156332 262.507303  281.992754 35.238083  49.312063  -35.187822
-15.589790 0.148892 245.488869  420.760170 33.859372  49.736816  153.848801
-15.746444 0.160971 241.594421   43.806799 31.943338  39.017324  -59.666737
-16.087377 0.151160 233.210077  266.274625 32.306020  64.062550  154.453053
-15.949723 0.165051 253.512777  -23.187798 32.989855  35.588502 -116.582248
-16.133247 0.163409 297.407442  655.962071 33.888731  41.511561 -166.848477
-15.993533 0.162580 250.786947  191.774399 32.639347  78.609202   48.486569
-15.878142 0.165907 240.892206  -34.137911 31.998794  50.715156  -10.603913
-15.815538 0.160598 231.980465   42.723186 34.787235  29.849204 -158.027496
-16.048091 0.158525 179.131441  307.811207 36.307396  64.952543  -84.737689
-16.481047 0.157092 246.848871  246.982053 31.486702  59.096608  -37.691743
-16.163274 0.158023 260.539807 -135.079306 34.971068  44.887863 -170.371662
-15.830713 0.158786 247.728669  314.076021 30.388485  73.999439   11.776468
-16.210342 0.158528 237.498138  203.758437 31.017339  42.527437  -55.261815
-16.263052 0.158923 224.429291  430.519033 32.328333  88.867837  254.697712
-16.131451 0.159009 259.717371  648.875758 31.333993  61.024216 -134.162520
-16.067549 0.152098 203.749787  530.507618 35.490591  91.813153  233.084171
-15.841751 0.157512 302.026128  984.852181 30.943084  65.467938   19.048636
-16.037404 0.154045 222.576404  -69.168325 30.883031  52.587917 -115.986585
-16.194561 0.158838 261.748577   23.320654 30.899809  46.654934 -122.721495
-15.990723 0.159437 218.621175  494.338081 33.571123  45.557239 -107.483140
-15.996649 0.162406 247.871832  120.341229 35.345490  42.946963    8.085249
-16.018947 0.167639 171.681530   49.468393 36.807716  66.215266 -112.504495
-15.850067 0.153868 235.483159  400.382623 34.526005  76.552550  203.971150
-16.119277 0.170056 273.738391  640.572394 32.029427  43.980428  -97.928570
-15.797762 0.167496 239.989041  571.974761 32.681227 107.274579  217.432587
-16.188843 0.151660 243.846644  352.550498 32.407939  67.792232  -44.511785
-15.869595 0.167057 241.664415  308.116723 34.407700  35.870657 -137.597594
-15.962456 0.163143 289.784764  279.031773 32.840759  51.691754  106.441733
-16.425811 0.158372 238.052488  404.491244 32.534933  58.294052 -136.003666
-15.884229 0.163602 238.623950  -23.625038 31.735424  58.928417  -21.912085
-15.722845 0.153573 274.150744  458.578135 33.374796  32.024830 -156.132168
-16.011369 0.157356 211.590230   44.362723 29.399158  31.484169 -146.663521
-16.311562 0.166636 313.834000  753.918443 32.247050  46.314508 -164.142619
-16.441602 0.154779 266.355283  730.339566 35.069898  58.820582   61.031039
-16.384332 0.157752 287.889348  -34.767524 31.463948  36.352534 -170.760731
-16.602538 0.160470 175.423077  222.892855 32.057961  41.580620  -65.896331
-15.830244 0.154773 248.536822  592.785552 32.492886  64.647158  129.795806
-15.798126 0.151964 253.531231  121.122981 30.441002  23.074324 -169.479257
-15.755438 0.158702 246.151230  267.623474 33.163777  38.078205  -80.059003
-15.847624 0.158584 266.483668  508.582240 32.501052  67.491684   29.596494
-15.876908 0.155804 141.696647  235.607067 34.371236  69.873543   33.766399
-16.262851 0.162501 222.746624  957.036414 32.350811  51.611711   16.110359
-16.337625 0.164028 240.331368  -25.205334 31.907329  63.285722  -34.969994
-16.068094 0.154282 256.365827   91.003981 33.119410  49.406216 -252.167456
-16.482611 0.157497 173.136775 -589.339775 31.213175  40.261999  -59.165185
-16.093769 0.164499 265.794181  440.857025 29.623123  42.321453 -134.385730
-16.012382 0.165293 181.189314  376.944983 32.510571  82.255272   36.997254
-16.030423 0.153405 172.618248   21.960543 33.663947  36.482240 -134.221973
-16.268147 0.164346 243.745969  -76.537171 33.138427  65.131872   56.380610
-15.776544 0.156697 224.881454  224.876166 34.103710  84.454876  172.773625
-15.847345 0.157924 206.210104  324.036123 33.483949  13.322418  -66.979340
-16.526608 0.156915 242.779374  262.049665 34.490479  68.038963   46.702430
-15.681355 0.165368 289.410338  403.383388 31.145312  42.635267 -108.297095
-16.301209 0.155462 214.759123  -44.048162 33.656314  69.486184   31.862635
-15.737731 0.152247 156.542834  -18.229841 31.942918  43.354186 -134.107264
-16.141178 0.158173 190.610191  651.064905 30.106147  77.781316  168.064627
-16.127824 0.156011 254.641382  643.290187 33.825895  67.226560  125.305160
-15.736468 0.160511 236.327882  546.153129 32.255418  34.203620  -93.763641
-16.255191 0.149674 243.479140  473.115143 33.185712  45.468938  -25.646158
-15.689729 0.165171 239.712202   -4.325309 34.547307  46.257717 -202.134914
-15.543967 0.165919 249.622588  395.936867 34.532223  38.272864  -39.245912
-16.333570 0.163009 271.239007  310.709310 30.935004  35.324206 -157.669307
-15.646651 0.163843 207.051065  743.973064 30.507253  81.535496  164.621198
-16.079576 0.158759 205.269827  643.005843 30.157994  85.188084  160.670244
-15.708750 0.163438 185.166832  304.565253 32.085174  90.694619  243.785472
-16.064714 0.157674 233.443397 -192.379179 33.293530  25.912296 -183.060531
-16.099545 0.157270 268.734463  376.795028 32.594460  34.061914 -139.972809
-15.756941 0.157744 235.865709  687.273688 31.726212  43.268887  -79.388981
-15.963126 0.158386 217.702535  272.863056 30.069068  83.431150  152.273523
-16.023623 0.155080 239.445265  115.966714 32.808694  65.295319 -119.822704
-15.573521 0.156893 264.110347  355.906388 31.312456  54.851744  -72.525847
-15.774208 0.158042 213.911606   40.837431 29.742245  58.725502  -44.343688
-16.093522 0.162575 218.652527 -260.389216 34.252497  75.528167  -24.837845
